request_id,runtime_request_id,npu_id,sequence,original_sequence,total_tokens_k,total_tokens,nql,hit_tokens,arrival_ms,per_layer_compute_ms,per_layer_read_GiB,per_layer_SSU0_read_GiB,per_layer_SSU1_read_GiB,per_layer_SSU2_read_GiB
36,36,1,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0693206787109375,0.0696563720703125,0.07318115234375
37,37,1,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.068817138671875,0.069488525390625,0.0738525390625
38,38,1,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0659637451171875,0.0706634521484375,0.072845458984375
39,39,1,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0652923583984375,0.0711669921875,0.0730133056640625
40,40,2,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.014434814453125,0.0132598876953125,0.0125885009765625
41,41,2,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0120849609375,0.015777587890625,0.012420654296875
42,42,2,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0112457275390625,0.01275634765625,0.0135955810546875
43,43,2,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0105743408203125,0.0159454345703125,0.011077880859375
44,44,2,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0270233154296875,0.025177001953125,0.0310516357421875
45,45,2,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.024169921875,0.0303802490234375,0.0287017822265625
46,46,2,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02618408203125,0.02618408203125,0.0281982421875
47,47,2,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0266876220703125,0.0260162353515625,0.027862548828125
48,48,2,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0310516357421875,0.041290283203125,0.0323944091796875
49,49,2,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0317230224609375,0.03558349609375,0.0374298095703125
50,50,2,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.032562255859375,0.0327301025390625,0.0367584228515625
51,51,2,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0357513427734375,0.0317230224609375,0.034576416015625
52,52,2,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0528717041015625,0.0612640380859375,0.0550537109375
53,53,2,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0522003173828125,0.058746337890625,0.0582427978515625
54,54,2,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.054046630859375,0.057403564453125,0.0550537109375
55,55,2,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0538787841796875,0.058746337890625,0.0538787841796875
56,56,2,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.068817138671875,0.0743560791015625,0.0689849853515625
57,57,2,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0642852783203125,0.072509765625,0.0753631591796875
58,58,2,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0676422119140625,0.06915283203125,0.0726776123046875
59,59,2,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0683135986328125,0.068145751953125,0.0730133056640625
60,60,3,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.01275634765625,0.0152740478515625,0.0122528076171875
61,61,3,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.013763427734375,0.0142669677734375,0.0122528076171875
62,62,3,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.011077880859375,0.013763427734375,0.01275634765625
63,63,3,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0120849609375,0.014434814453125,0.011077880859375
64,64,3,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.03021240234375,0.025177001953125,0.027862548828125
65,65,3,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.027191162109375,0.02752685546875,0.028533935546875
66,66,3,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0250091552734375,0.0310516357421875,0.024505615234375
67,67,3,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0260162353515625,0.0226593017578125,0.031890869140625
68,68,3,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.033905029296875,0.03424072265625,0.036590576171875
69,69,3,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.03155517578125,0.0391082763671875,0.0340728759765625
70,70,3,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0335693359375,0.032562255859375,0.035919189453125
71,71,3,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.032562255859375,0.03155517578125,0.037933349609375
72,72,3,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.054046630859375,0.059417724609375,0.05572509765625
73,73,3,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.053375244140625,0.0599212646484375,0.0558929443359375
74,74,3,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.051361083984375,0.0575714111328125,0.0575714111328125
75,75,3,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0498504638671875,0.0642852783203125,0.0523681640625
76,76,3,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0689849853515625,0.0730133056640625,0.070159912109375
77,77,3,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0684814453125,0.0706634521484375,0.0730133056640625
78,78,3,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0656280517578125,0.07318115234375,0.0706634521484375
79,79,3,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.064453125,0.0767059326171875,0.0683135986328125
80,80,4,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0122528076171875,0.0135955810546875,0.014434814453125
81,81,4,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0119171142578125,0.0135955810546875,0.0147705078125
82,82,4,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.01275634765625,0.0139312744140625,0.0109100341796875
83,83,4,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0122528076171875,0.012420654296875,0.0129241943359375
84,84,4,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02349853515625,0.0300445556640625,0.0297088623046875
85,85,4,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02484130859375,0.027191162109375,0.031219482421875
86,86,4,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.025177001953125,0.027191162109375,0.0281982421875
87,87,4,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02685546875,0.0273590087890625,0.0263519287109375
88,88,4,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.031890869140625,0.04095458984375,0.031890869140625
89,89,4,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.03424072265625,0.03424072265625,0.0362548828125
90,90,4,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.032562255859375,0.037933349609375,0.03155517578125
91,91,4,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0327301025390625,0.0334014892578125,0.035919189453125
92,92,4,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0501861572265625,0.0602569580078125,0.058746337890625
93,93,4,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0542144775390625,0.0558929443359375,0.05908203125
94,94,4,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.056732177734375,0.0569000244140625,0.0528717041015625
95,95,4,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0496826171875,0.057403564453125,0.059417724609375
96,96,4,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0659637451171875,0.0730133056640625,0.07318115234375
97,97,4,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0669708251953125,0.072845458984375,0.0723419189453125
98,98,4,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0609283447265625,0.072509765625,0.0760345458984375
99,99,4,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0646209716796875,0.0740203857421875,0.070831298828125
100,100,5,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0119171142578125,0.014434814453125,0.0139312744140625
101,101,5,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.01141357421875,0.015777587890625,0.013092041015625
102,102,5,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0142669677734375,0.0115814208984375,0.011749267578125
103,103,5,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0119171142578125,0.011077880859375,0.0146026611328125
104,104,5,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02685546875,0.0266876220703125,0.0297088623046875
105,105,5,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02685546875,0.02685546875,0.029541015625
106,106,5,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0233306884765625,0.027862548828125,0.0293731689453125
107,107,5,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0229949951171875,0.0317230224609375,0.025848388671875
108,108,5,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.032562255859375,0.0357513427734375,0.0364227294921875
109,109,5,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0334014892578125,0.0350799560546875,0.0362548828125
110,110,5,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0310516357421875,0.0347442626953125,0.0362548828125
111,111,5,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.030548095703125,0.03826904296875,0.033233642578125
112,112,5,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.05169677734375,0.0602569580078125,0.0572357177734375
113,113,5,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.05169677734375,0.0575714111328125,0.0599212646484375
114,114,5,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.05303955078125,0.05706787109375,0.056396484375
115,115,5,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0522003173828125,0.0595855712890625,0.054718017578125
116,116,5,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0657958984375,0.06982421875,0.0765380859375
117,117,5,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.064453125,0.0703277587890625,0.0773773193359375
118,118,5,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0666351318359375,0.0683135986328125,0.07452392578125
119,119,5,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.06781005859375,0.0684814453125,0.07318115234375
120,120,6,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0142669677734375,0.013763427734375,0.0122528076171875
121,121,6,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.013427734375,0.013092041015625,0.013763427734375
122,122,6,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0105743408203125,0.0129241943359375,0.01409912109375
123,123,6,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0122528076171875,0.0132598876953125,0.0120849609375
124,124,6,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0240020751953125,0.0300445556640625,0.029205322265625
125,125,6,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.025848388671875,0.02685546875,0.030548095703125
126,126,6,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02484130859375,0.027191162109375,0.028533935546875
127,127,6,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0270233154296875,0.0283660888671875,0.025177001953125
128,128,6,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.03155517578125,0.0394439697265625,0.0337371826171875
129,129,6,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0347442626953125,0.0330657958984375,0.03692626953125
130,130,6,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0350799560546875,0.0337371826171875,0.033233642578125
131,131,6,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0308837890625,0.037933349609375,0.033233642578125
132,132,6,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0542144775390625,0.059417724609375,0.0555572509765625
133,133,6,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.05438232421875,0.0562286376953125,0.0585784912109375
134,134,6,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.054046630859375,0.05908203125,0.053375244140625
135,135,6,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0496826171875,0.0595855712890625,0.0572357177734375
136,136,6,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.064788818359375,0.0760345458984375,0.0713348388671875
137,137,6,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0689849853515625,0.06781005859375,0.0753631591796875
138,138,6,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0609283447265625,0.07049560546875,0.0780487060546875
139,139,6,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.072174072265625,0.0696563720703125,0.0676422119140625
140,140,7,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0120849609375,0.014434814453125,0.013763427734375
141,141,7,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.013092041015625,0.0142669677734375,0.0129241943359375
142,142,7,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.013092041015625,0.01409912109375,0.010406494140625
143,143,7,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0115814208984375,0.0147705078125,0.0112457275390625
144,144,7,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0255126953125,0.0293731689453125,0.0283660888671875
145,145,7,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.024169921875,0.031890869140625,0.027191162109375
146,146,7,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0281982421875,0.0287017822265625,0.0236663818359375
147,147,7,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0250091552734375,0.0276947021484375,0.027862548828125
148,148,7,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.033905029296875,0.035247802734375,0.03558349609375
149,149,7,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.031890869140625,0.0370941162109375,0.0357513427734375
150,150,7,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0347442626953125,0.0322265625,0.0350799560546875
151,151,7,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0297088623046875,0.037261962890625,0.0350799560546875
152,152,7,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.054046630859375,0.058746337890625,0.056396484375
153,153,7,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0522003173828125,0.0572357177734375,0.05975341796875
154,154,7,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0469970703125,0.05975341796875,0.05975341796875
155,155,7,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0522003173828125,0.060089111328125,0.0542144775390625
156,156,7,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.066802978515625,0.074188232421875,0.0711669921875
157,157,7,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0686492919921875,0.069488525390625,0.0740203857421875
158,158,7,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.06512451171875,0.0693206787109375,0.0750274658203125
159,159,7,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0666351318359375,0.07183837890625,0.0709991455078125
160,160,8,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.01007080078125,0.014434814453125,0.015777587890625
161,161,8,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.01141357421875,0.0139312744140625,0.0149383544921875
162,162,8,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0102386474609375,0.013763427734375,0.0135955810546875
163,163,8,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0122528076171875,0.01275634765625,0.0125885009765625
164,164,8,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.026519775390625,0.02618408203125,0.030548095703125
165,165,8,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.024169921875,0.0330657958984375,0.0260162353515625
166,166,8,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.025177001953125,0.0256805419921875,0.0297088623046875
167,167,8,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.024169921875,0.0266876220703125,0.0297088623046875
168,168,8,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0323944091796875,0.0364227294921875,0.035919189453125
169,169,8,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.033905029296875,0.0323944091796875,0.0384368896484375
170,170,8,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0357513427734375,0.0330657958984375,0.033233642578125
171,171,8,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0303802490234375,0.0350799560546875,0.036590576171875
172,172,8,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.05035400390625,0.06109619140625,0.0577392578125
173,173,8,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0511932373046875,0.058746337890625,0.0592498779296875
174,174,8,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0528717041015625,0.0569000244140625,0.056732177734375
175,175,8,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0522003173828125,0.060760498046875,0.0535430908203125
176,176,8,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0662994384765625,0.0767059326171875,0.06915283203125
177,177,8,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.06646728515625,0.0763702392578125,0.0693206787109375
178,178,8,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0652923583984375,0.072509765625,0.0716705322265625
179,179,8,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0657958984375,0.0706634521484375,0.0730133056640625
180,180,9,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0122528076171875,0.0135955810546875,0.014434814453125
181,181,9,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.01275634765625,0.0120849609375,0.01544189453125
182,182,9,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0132598876953125,0.01275634765625,0.0115814208984375
183,183,9,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0125885009765625,0.01275634765625,0.0122528076171875
184,184,9,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.024169921875,0.0300445556640625,0.0290374755859375
185,185,9,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0263519287109375,0.029541015625,0.0273590087890625
186,186,9,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0266876220703125,0.028533935546875,0.0253448486328125
187,187,9,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02484130859375,0.0253448486328125,0.0303802490234375
188,188,9,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0281982421875,0.0389404296875,0.03759765625
189,189,9,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.031219482421875,0.0337371826171875,0.0397796630859375
190,190,9,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0310516357421875,0.035919189453125,0.0350799560546875
191,191,9,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0317230224609375,0.0360870361328125,0.03424072265625
192,192,9,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.054046630859375,0.0545501708984375,0.0605926513671875
193,193,9,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0552215576171875,0.0585784912109375,0.055389404296875
194,194,9,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.052703857421875,0.0582427978515625,0.0555572509765625
195,195,9,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0508575439453125,0.0552215576171875,0.0604248046875
196,196,9,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0689849853515625,0.0713348388671875,0.07183837890625
197,197,9,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.0659637451171875,0.0773773193359375,0.068817138671875
198,198,9,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0683135986328125,0.072174072265625,0.0689849853515625
199,199,9,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.0656280517578125,0.0699920654296875,0.0738525390625
200,200,10,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.014434814453125,0.013763427734375,0.0120849609375
201,201,10,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0129241943359375,0.0135955810546875,0.013763427734375
202,202,10,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0122528076171875,0.0135955810546875,0.011749267578125
203,203,10,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.011749267578125,0.01409912109375,0.011749267578125
204,204,10,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0280303955078125,0.0270233154296875,0.0281982421875
205,205,10,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02886962890625,0.026519775390625,0.027862548828125
206,206,10,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0263519287109375,0.0256805419921875,0.028533935546875
207,207,10,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0226593017578125,0.02886962890625,0.0290374755859375
208,208,10,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0330657958984375,0.03759765625,0.0340728759765625
209,209,10,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0283660888671875,0.038604736328125,0.0377655029296875
