npu_id,fifo_position,request_id,original_request_id,original_fifo_id,role
3,7,3000007,3000004,3000004,B
3,8,3000008,3000019,3000019,B
3,9,3000009,3000013,3000013,B
3,10,3000010,3000022,3000022,B
3,11,3000011,3000009,3000009,A
3,12,3000012,3000017,3000017,B
3,13,3000013,3000031,3000031,B
3,14,3000014,3000028,3000028,B
3,15,3000015,3000011,3000011,B
3,16,3000016,3000007,3000007,B
3,17,3000017,3000032,3000032,B
3,18,3000018,3000010,3000010,B
3,19,3000019,3000025,3000025,B
3,20,3000020,3000016,3000016,B
3,21,3000021,3000001,3000001,B
3,22,3000022,3000005,3000005,B
3,23,3000023,3000020,3000020,B
3,24,3000024,3000008,3000008,B
3,25,3000025,3000030,3000030,A
3,26,3000026,3000014,3000014,B
3,27,3000027,3000006,3000006,A
3,28,3000028,3000000,3000000,A
3,29,3000029,3000018,3000018,A
3,30,3000030,3000015,3000015,A
3,31,3000031,3000027,3000027,A
3,32,3000032,3000002,3000002,B
4,0,4000000,4000021,4000021,A
4,1,4000001,4000013,4000013,B
4,2,4000002,4000023,4000023,B
4,3,4000003,4000001,4000001,B
4,4,4000004,4000024,4000024,A
4,5,4000005,4000032,4000032,B
4,6,4000006,4000022,4000022,B
4,7,4000007,4000007,4000007,B
4,8,4000008,4000026,4000026,B
4,9,4000009,4000017,4000017,B
4,10,4000010,4000000,4000000,A
4,11,4000011,4000010,4000010,B
4,12,4000012,4000011,4000011,B
4,13,4000013,4000012,4000012,A
4,14,4000014,4000008,4000008,B
4,15,4000015,4000002,4000002,B
4,16,4000016,4000004,4000004,B
4,17,4000017,4000009,4000009,A
4,18,4000018,4000030,4000030,A
4,19,4000019,4000003,4000003,A
4,20,4000020,4000025,4000025,B
4,21,4000021,4000019,4000019,B
4,22,4000022,4000020,4000020,B
4,23,4000023,4000015,4000015,A
4,24,4000024,4000031,4000031,B
4,25,4000025,4000005,4000005,B
4,26,4000026,4000006,4000006,A
4,27,4000027,4000018,4000018,A
4,28,4000028,4000027,4000027,A
4,29,4000029,4000016,4000016,B
4,30,4000030,4000014,4000014,B
4,31,4000031,4000029,4000029,B
4,32,4000032,4000028,4000028,B
5,0,5000000,5000019,5000019,B
5,1,5000001,5000006,5000006,A
5,2,5000002,5000009,5000009,A
5,3,5000003,5000028,5000028,B
5,4,5000004,5000025,5000025,B
5,5,5000005,5000023,5000023,B
5,6,5000006,5000022,5000022,B
5,7,5000007,5000001,5000001,B
5,8,5000008,5000010,5000010,B
5,9,5000009,5000029,5000029,B
5,10,5000010,5000003,5000003,A
5,11,5000011,5000013,5000013,B
5,12,5000012,5000002,5000002,B
5,13,5000013,5000005,5000005,B
5,14,5000014,5000018,5000018,A
5,15,5000015,5000026,5000026,B
5,16,5000016,5000024,5000024,A
5,17,5000017,5000031,5000031,B
5,18,5000018,5000007,5000007,B
5,19,5000019,5000014,5000014,B
5,20,5000020,5000020,5000020,B
5,21,5000021,5000008,5000008,B
5,22,5000022,5000015,5000015,A
5,23,5000023,5000027,5000027,A
5,24,5000024,5000000,5000000,A
5,25,5000025,5000012,5000012,A
5,26,5000026,5000004,5000004,B
5,27,5000027,5000011,5000011,B
5,28,5000028,5000032,5000032,B
5,29,5000029,5000016,5000016,B
5,30,5000030,5000021,5000021,A
5,31,5000031,5000017,5000017,B
5,32,5000032,5000030,5000030,A
6,0,6000000,6000019,6000019,B
6,1,6000001,6000001,6000001,B
6,2,6000002,6000013,6000013,B
6,3,6000003,6000008,6000008,B
6,4,6000004,6000003,6000003,A
6,5,6000005,6000023,6000023,B
6,6,6000006,6000011,6000011,B
6,7,6000007,6000012,6000012,A
6,8,6000008,6000031,6000031,B
6,9,6000009,6000014,6000014,B
6,10,6000010,6000015,6000015,A
6,11,6000011,6000010,6000010,B
6,12,6000012,6000017,6000017,B
6,13,6000013,6000032,6000032,B
6,14,6000014,6000000,6000000,A
6,15,6000015,6000009,6000009,A
6,16,6000016,6000006,6000006,A
6,17,6000017,6000002,6000002,B
6,18,6000018,6000022,6000022,B
6,19,6000019,6000026,6000026,B
6,20,6000020,6000027,6000027,A
6,21,6000021,6000024,6000024,A
6,22,6000022,6000004,6000004,B
6,23,6000023,6000028,6000028,B
6,24,6000024,6000007,6000007,B
6,25,6000025,6000020,6000020,B
6,26,6000026,6000005,6000005,B
6,27,6000027,6000025,6000025,B
6,28,6000028,6000030,6000030,A
6,29,6000029,6000029,6000029,B
6,30,6000030,6000021,6000021,A
6,31,6000031,6000018,6000018,A
6,32,6000032,6000016,6000016,B
7,0,7000000,7000018,7000018,A
7,1,7000001,7000032,7000032,B
7,2,7000002,7000000,7000000,A
7,3,7000003,7000001,7000001,B
7,4,7000004,7000016,7000016,B
7,5,7000005,7000011,7000011,B
7,6,7000006,7000013,7000013,B
7,7,7000007,7000022,7000022,B
7,8,7000008,7000025,7000025,B
7,9,7000009,7000017,7000017,B
7,10,7000010,7000031,7000031,B
7,11,7000011,7000024,7000024,A
7,12,7000012,7000004,7000004,B
7,13,7000013,7000019,7000019,B
7,14,7000014,7000005,7000005,B
7,15,7000015,7000010,7000010,B
7,16,7000016,7000007,7000007,B
7,17,7000017,7000028,7000028,B
7,18,7000018,7000003,7000003,A
7,19,7000019,7000020,7000020,B
7,20,7000020,7000012,7000012,A
7,21,7000021,7000026,7000026,B
7,22,7000022,7000027,7000027,A
7,23,7000023,7000014,7000014,B
7,24,7000024,7000021,7000021,A
7,25,7000025,7000002,7000002,B
7,26,7000026,7000029,7000029,B
7,27,7000027,7000009,7000009,A
7,28,7000028,7000030,7000030,A
7,29,7000029,7000023,7000023,B
7,30,7000030,7000008,7000008,B
7,31,7000031,7000015,7000015,A
7,32,7000032,7000006,7000006,A
8,0,8000000,8000017,8000017,B
8,1,8000001,8000024,8000024,A
8,2,8000002,8000025,8000025,B
8,3,8000003,8000020,8000020,B
8,4,8000004,8000032,8000032,B
8,5,8000005,8000015,8000015,A
8,6,8000006,8000002,8000002,B
8,7,8000007,8000018,8000018,A
8,8,8000008,8000009,8000009,A
8,9,8000009,8000012,8000012,A
8,10,8000010,8000030,8000030,A
8,11,8000011,8000019,8000019,B
8,12,8000012,8000027,8000027,A
8,13,8000013,8000022,8000022,B
8,14,8000014,8000006,8000006,A
8,15,8000015,8000008,8000008,B
8,16,8000016,8000029,8000029,B
8,17,8000017,8000014,8000014,B
8,18,8000018,8000010,8000010,B
8,19,8000019,8000003,8000003,A
8,20,8000020,8000026,8000026,B
8,21,8000021,8000011,8000011,B
8,22,8000022,8000004,8000004,B
8,23,8000023,8000021,8000021,A
8,24,8000024,8000028,8000028,B
8,25,8000025,8000031,8000031,B
8,26,8000026,8000007,8000007,B
8,27,8000027,8000005,8000005,B
8,28,8000028,8000001,8000001,B
8,29,8000029,8000023,8000023,B
8,30,8000030,8000016,8000016,B
8,31,8000031,8000000,8000000,A
8,32,8000032,8000013,8000013,B
9,0,9000000,9000032,9000032,B
9,1,9000001,9000024,9000024,A
9,2,9000002,9000005,9000005,B
9,3,9000003,9000006,9000006,A
9,4,9000004,9000019,9000019,B
9,5,9000005,9000001,9000001,B
9,6,9000006,9000012,9000012,A
9,7,9000007,9000026,9000026,B
9,8,9000008,9000003,9000003,A
9,9,9000009,9000018,9000018,A
9,10,9000010,9000004,9000004,B
9,11,9000011,9000016,9000016,B
9,12,9000012,9000011,9000011,B
9,13,9000013,9000002,9000002,B
9,14,9000014,9000031,9000031,B
9,15,9000015,9000010,9000010,B
9,16,9000016,9000017,9000017,B
9,17,9000017,9000029,9000029,B
9,18,9000018,9000025,9000025,B
9,19,9000019,9000020,9000020,B
9,20,9000020,9000027,9000027,A
9,21,9000021,9000008,9000008,B
9,22,9000022,9000022,9000022,B
9,23,9000023,9000021,9000021,A
9,24,9000024,9000028,9000028,B
9,25,9000025,9000000,9000000,A
9,26,9000026,9000014,9000014,B
9,27,9000027,9000007,9000007,B
9,28,9000028,9000013,9000013,B
9,29,9000029,9000009,9000009,A
9,30,9000030,9000015,9000015,A
9,31,9000031,9000030,9000030,A
9,32,9000032,9000023,9000023,B
10,0,10000000,10000014,10000014,B
10,1,10000001,10000018,10000018,A
10,2,10000002,10000020,10000020,B
10,3,10000003,10000004,10000004,B
10,4,10000004,10000029,10000029,B
10,5,10000005,10000028,10000028,B
10,6,10000006,10000001,10000001,B
10,7,10000007,10000031,10000031,B
10,8,10000008,10000002,10000002,B
10,9,10000009,10000006,10000006,A
10,10,10000010,10000010,10000010,B
10,11,10000011,10000027,10000027,A
10,12,10000012,10000023,10000023,B
10,13,10000013,10000015,10000015,A
10,14,10000014,10000016,10000016,B
10,15,10000015,10000032,10000032,B
10,16,10000016,10000013,10000013,B
10,17,10000017,10000012,10000012,A
10,18,10000018,10000007,10000007,B
10,19,10000019,10000000,10000000,A
10,20,10000020,10000003,10000003,A
10,21,10000021,10000008,10000008,B
10,22,10000022,10000021,10000021,A
10,23,10000023,10000017,10000017,B
10,24,10000024,10000025,10000025,B
10,25,10000025,10000022,10000022,B
10,26,10000026,10000024,10000024,A
10,27,10000027,10000005,10000005,B
10,28,10000028,10000009,10000009,A
10,29,10000029,10000011,10000011,B
10,30,10000030,10000030,10000030,A
10,31,10000031,10000019,10000019,B
10,32,10000032,10000026,10000026,B
11,0,11000000,11000000,11000000,A
11,1,11000001,11000027,11000027,A
11,2,11000002,11000017,11000017,B
11,3,11000003,11000001,11000001,B
11,4,11000004,11000004,11000004,B
11,5,11000005,11000024,11000024,A
11,6,11000006,11000019,11000019,B
11,7,11000007,11000013,11000013,B
11,8,11000008,11000012,11000012,A
11,9,11000009,11000032,11000032,B
11,10,11000010,11000030,11000030,A
11,11,11000011,11000002,11000002,B
11,12,11000012,11000028,11000028,B
11,13,11000013,11000016,11000016,B
11,14,11000014,11000022,11000022,B
11,15,11000015,11000003,11000003,A
11,16,11000016,11000018,11000018,A
11,17,11000017,11000026,11000026,B
11,18,11000018,11000008,11000008,B
11,19,11000019,11000029,11000029,B
11,20,11000020,11000009,11000009,A
11,21,11000021,11000023,11000023,B
11,22,11000022,11000005,11000005,B
11,23,11000023,11000025,11000025,B
11,24,11000024,11000020,11000020,B
11,25,11000025,11000015,11000015,A
11,26,11000026,11000006,11000006,A
11,27,11000027,11000031,11000031,B
11,28,11000028,11000010,11000010,B
11,29,11000029,11000014,11000014,B
11,30,11000030,11000021,11000021,A
11,31,11000031,11000007,11000007,B
11,32,11000032,11000011,11000011,B
12,0,12000000,12000032,12000032,B
12,1,12000001,12000024,12000024,A
12,2,12000002,12000029,12000029,B
12,3,12000003,12000026,12000026,B
12,4,12000004,12000014,12000014,B
12,5,12000005,12000027,12000027,A
12,6,12000006,12000031,12000031,B
12,7,12000007,12000001,12000001,B
12,8,12000008,12000015,12000015,A
12,9,12000009,12000017,12000017,B
12,10,12000010,12000025,12000025,B
12,11,12000011,12000000,12000000,A
12,12,12000012,12000023,12000023,B
12,13,12000013,12000005,12000005,B
12,14,12000014,12000028,12000028,B
12,15,12000015,12000020,12000020,B
12,16,12000016,12000022,12000022,B
12,17,12000017,12000010,12000010,B
12,18,12000018,12000013,12000013,B
12,19,12000019,12000021,12000021,A
12,20,12000020,12000003,12000003,A
12,21,12000021,12000008,12000008,B
12,22,12000022,12000019,12000019,B
12,23,12000023,12000004,12000004,B
12,24,12000024,12000018,12000018,A
12,25,12000025,12000009,12000009,A
12,26,12000026,12000030,12000030,A
12,27,12000027,12000011,12000011,B
12,28,12000028,12000012,12000012,A
12,29,12000029,12000006,12000006,A
12,30,12000030,12000016,12000016,B
12,31,12000031,12000007,12000007,B
12,32,12000032,12000002,12000002,B
13,0,13000000,13000029,13000029,B
13,1,13000001,13000007,13000007,B
13,2,13000002,13000001,13000001,B
13,3,13000003,13000012,13000012,A
13,4,13000004,13000025,13000025,B
13,5,13000005,13000008,13000008,B
13,6,13000006,13000023,13000023,B
13,7,13000007,13000031,13000031,B
13,8,13000008,13000032,13000032,B
13,9,13000009,13000011,13000011,B
13,10,13000010,13000017,13000017,B
13,11,13000011,13000024,13000024,A
13,12,13000012,13000030,13000030,A
13,13,13000013,13000019,13000019,B
13,14,13000014,13000006,13000006,A
13,15,13000015,13000014,13000014,B
13,16,13000016,13000015,13000015,A
13,17,13000017,13000026,13000026,B
13,18,13000018,13000004,13000004,B
13,19,13000019,13000028,13000028,B
13,20,13000020,13000002,13000002,B
13,21,13000021,13000022,13000022,B
13,22,13000022,13000013,13000013,B
13,23,13000023,13000000,13000000,A
13,24,13000024,13000005,13000005,B
13,25,13000025,13000018,13000018,A
13,26,13000026,13000010,13000010,B
13,27,13000027,13000003,13000003,A
13,28,13000028,13000027,13000027,A
13,29,13000029,13000020,13000020,B
13,30,13000030,13000021,13000021,A
13,31,13000031,13000016,13000016,B
13,32,13000032,13000009,13000009,A
14,0,14000000,14000019,14000019,B
14,1,14000001,14000014,14000014,B
14,2,14000002,14000030,14000030,A
14,3,14000003,14000024,14000024,A
14,4,14000004,14000027,14000027,A
14,5,14000005,14000032,14000032,B
14,6,14000006,14000004,14000004,B
14,7,14000007,14000008,14000008,B
14,8,14000008,14000025,14000025,B
14,9,14000009,14000017,14000017,B
14,10,14000010,14000028,14000028,B
14,11,14000011,14000003,14000003,A
14,12,14000012,14000012,14000012,A
14,13,14000013,14000002,14000002,B
14,14,14000014,14000001,14000001,B
14,15,14000015,14000029,14000029,B
14,16,14000016,14000011,14000011,B
14,17,14000017,14000018,14000018,A
14,18,14000018,14000000,14000000,A
14,19,14000019,14000007,14000007,B
14,20,14000020,14000021,14000021,A
14,21,14000021,14000023,14000023,B
14,22,14000022,14000005,14000005,B
14,23,14000023,14000016,14000016,B
14,24,14000024,14000031,14000031,B
14,25,14000025,14000006,14000006,A
14,26,14000026,14000015,14000015,A
14,27,14000027,14000009,14000009,A
14,28,14000028,14000020,14000020,B
14,29,14000029,14000013,14000013,B
14,30,14000030,14000022,14000022,B
14,31,14000031,14000026,14000026,B
14,32,14000032,14000010,14000010,B
15,0,15000000,15000025,15000025,B
15,1,15000001,15000016,15000016,B
15,2,15000002,15000021,15000021,A
15,3,15000003,15000029,15000029,B
15,4,15000004,15000028,15000028,B
15,5,15000005,15000024,15000024,A
15,6,15000006,15000018,15000018,A
15,7,15000007,15000006,15000006,A
15,8,15000008,15000017,15000017,B
15,9,15000009,15000004,15000004,B
15,10,15000010,15000012,15000012,A
15,11,15000011,15000031,15000031,B
15,12,15000012,15000009,15000009,A
15,13,15000013,15000030,15000030,A
15,14,15000014,15000026,15000026,B
15,15,15000015,15000013,15000013,B
15,16,15000016,15000027,15000027,A
15,17,15000017,15000010,15000010,B
15,18,15000018,15000001,15000001,B
15,19,15000019,15000032,15000032,B
15,20,15000020,15000007,15000007,B
15,21,15000021,15000002,15000002,B
15,22,15000022,15000011,15000011,B
15,23,15000023,15000020,15000020,B
15,24,15000024,15000023,15000023,B
15,25,15000025,15000003,15000003,A
15,26,15000026,15000022,15000022,B
15,27,15000027,15000005,15000005,B
15,28,15000028,15000014,15000014,B
15,29,15000029,15000019,15000019,B
15,30,15000030,15000000,15000000,A
15,31,15000031,15000015,15000015,A
15,32,15000032,15000008,15000008,B
16,0,16000000,16000015,16000015,A
16,1,16000001,16000023,16000023,B
16,2,16000002,16000002,16000002,B
16,3,16000003,16000026,16000026,B
16,4,16000004,16000017,16000017,B
16,5,16000005,16000010,16000010,B
16,6,16000006,16000028,16000028,B
16,7,16000007,16000031,16000031,B
16,8,16000008,16000027,16000027,A
16,9,16000009,16000021,16000021,A
16,10,16000010,16000025,16000025,B
16,11,16000011,16000022,16000022,B
16,12,16000012,16000029,16000029,B
16,13,16000013,16000024,16000024,A
16,14,16000014,16000001,16000001,B
16,15,16000015,16000003,16000003,A
16,16,16000016,16000019,16000019,B
16,17,16000017,16000020,16000020,B
16,18,16000018,16000007,16000007,B
16,19,16000019,16000030,16000030,A
16,20,16000020,16000014,16000014,B
16,21,16000021,16000008,16000008,B
16,22,16000022,16000006,16000006,A
16,23,16000023,16000004,16000004,B
16,24,16000024,16000011,16000011,B
16,25,16000025,16000016,16000016,B
16,26,16000026,16000012,16000012,A
16,27,16000027,16000013,16000013,B
16,28,16000028,16000009,16000009,A
16,29,16000029,16000032,16000032,B
16,30,16000030,16000000,16000000,A
16,31,16000031,16000005,16000005,B
16,32,16000032,16000018,16000018,A
17,0,17000000,17000017,17000017,B
17,1,17000001,17000016,17000016,B
17,2,17000002,17000015,17000015,A
17,3,17000003,17000032,17000032,B
17,4,17000004,17000008,17000008,B
17,5,17000005,17000025,17000025,B
17,6,17000006,17000028,17000028,B
17,7,17000007,17000013,17000013,B
17,8,17000008,17000001,17000001,B
17,9,17000009,17000012,17000012,A
17,10,17000010,17000023,17000023,B
17,11,17000011,17000010,17000010,B
17,12,17000012,17000018,17000018,A
17,13,17000013,17000031,17000031,B
17,14,17000014,17000007,17000007,B
17,15,17000015,17000027,17000027,A
17,16,17000016,17000020,17000020,B
17,17,17000017,17000003,17000003,A
17,18,17000018,17000019,17000019,B
17,19,17000019,17000014,17000014,B
17,20,17000020,17000000,17000000,A
17,21,17000021,17000009,17000009,A
17,22,17000022,17000004,17000004,B
17,23,17000023,17000022,17000022,B
17,24,17000024,17000002,17000002,B
17,25,17000025,17000026,17000026,B
17,26,17000026,17000021,17000021,A
17,27,17000027,17000029,17000029,B
17,28,17000028,17000030,17000030,A
17,29,17000029,17000005,17000005,B
17,30,17000030,17000006,17000006,A
17,31,17000031,17000011,17000011,B
17,32,17000032,17000024,17000024,A
18,0,18000000,18000004,18000004,B
18,1,18000001,18000017,18000017,B
18,2,18000002,18000021,18000021,A
18,3,18000003,18000014,18000014,B
18,4,18000004,18000031,18000031,B
18,5,18000005,18000011,18000011,B
18,6,18000006,18000016,18000016,B
18,7,18000007,18000022,18000022,B
18,8,18000008,18000025,18000025,B
18,9,18000009,18000007,18000007,B
18,10,18000010,18000012,18000012,A
18,11,18000011,18000005,18000005,B
18,12,18000012,18000023,18000023,B
18,13,18000013,18000002,18000002,B
18,14,18000014,18000019,18000019,B
18,15,18000015,18000010,18000010,B
18,16,18000016,18000030,18000030,A
18,17,18000017,18000026,18000026,B
18,18,18000018,18000003,18000003,A
18,19,18000019,18000013,18000013,B
18,20,18000020,18000018,18000018,A
18,21,18000021,18000028,18000028,B
18,22,18000022,18000032,18000032,B
18,23,18000023,18000008,18000008,B
18,24,18000024,18000001,18000001,B
18,25,18000025,18000015,18000015,A
18,26,18000026,18000020,18000020,B
18,27,18000027,18000009,18000009,A
18,28,18000028,18000027,18000027,A
18,29,18000029,18000029,18000029,B
18,30,18000030,18000006,18000006,A
18,31,18000031,18000000,18000000,A
18,32,18000032,18000024,18000024,A
19,0,19000000,19000020,19000020,B
19,1,19000001,19000010,19000010,B
19,2,19000002,19000006,19000006,A
19,3,19000003,19000018,19000018,A
19,4,19000004,19000009,19000009,A
19,5,19000005,19000026,19000026,B
19,6,19000006,19000022,19000022,B
19,7,19000007,19000008,19000008,B
19,8,19000008,19000002,19000002,B
19,9,19000009,19000032,19000032,B
19,10,19000010,19000000,19000000,A
19,11,19000011,19000014,19000014,B
19,12,19000012,19000003,19000003,A
19,13,19000013,19000023,19000023,B
19,14,19000014,19000011,19000011,B
19,15,19000015,19000028,19000028,B
19,16,19000016,19000007,19000007,B
19,17,19000017,19000030,19000030,A
19,18,19000018,19000005,19000005,B
19,19,19000019,19000016,19000016,B
19,20,19000020,19000029,19000029,B
19,21,19000021,19000021,19000021,A
19,22,19000022,19000027,19000027,A
19,23,19000023,19000015,19000015,A
19,24,19000024,19000025,19000025,B
19,25,19000025,19000024,19000024,A
19,26,19000026,19000004,19000004,B
19,27,19000027,19000001,19000001,B
19,28,19000028,19000017,19000017,B
19,29,19000029,19000019,19000019,B
19,30,19000030,19000031,19000031,B
19,31,19000031,19000013,19000013,B
19,32,19000032,19000012,19000012,A
20,0,20000000,20000004,20000004,B
20,1,20000001,20000014,20000014,B
20,2,20000002,20000024,20000024,A
20,3,20000003,20000016,20000016,B
20,4,20000004,20000003,20000003,A
20,5,20000005,20000000,20000000,A
20,6,20000006,20000019,20000019,B
20,7,20000007,20000022,20000022,B
20,8,20000008,20000028,20000028,B
20,9,20000009,20000020,20000020,B
20,10,20000010,20000001,20000001,B
20,11,20000011,20000013,20000013,B
20,12,20000012,20000029,20000029,B
20,13,20000013,20000023,20000023,B
20,14,20000014,20000021,20000021,A
20,15,20000015,20000026,20000026,B
20,16,20000016,20000015,20000015,A
20,17,20000017,20000018,20000018,A
20,18,20000018,20000007,20000007,B
20,19,20000019,20000005,20000005,B
20,20,20000020,20000012,20000012,A
20,21,20000021,20000011,20000011,B
20,22,20000022,20000025,20000025,B
20,23,20000023,20000010,20000010,B
20,24,20000024,20000031,20000031,B
20,25,20000025,20000008,20000008,B
20,26,20000026,20000027,20000027,A
20,27,20000027,20000002,20000002,B
20,28,20000028,20000006,20000006,A
20,29,20000029,20000009,20000009,A
20,30,20000030,20000032,20000032,B
20,31,20000031,20000017,20000017,B
20,32,20000032,20000030,20000030,A
21,0,21000000,21000016,21000016,B
21,1,21000001,21000028,21000028,B
21,2,21000002,21000011,21000011,B
21,3,21000003,21000002,21000002,B
21,4,21000004,21000031,21000031,B
21,5,21000005,21000009,21000009,A
21,6,21000006,21000026,21000026,B
21,7,21000007,21000030,21000030,A
21,8,21000008,21000018,21000018,A
21,9,21000009,21000010,21000010,B
21,10,21000010,21000001,21000001,B
21,11,21000011,21000023,21000023,B
21,12,21000012,21000015,21000015,A
21,13,21000013,21000000,21000000,A
21,14,21000014,21000003,21000003,A
21,15,21000015,21000024,21000024,A
21,16,21000016,21000029,21000029,B
21,17,21000017,21000027,21000027,A
21,18,21000018,21000012,21000012,A
21,19,21000019,21000025,21000025,B
21,20,21000020,21000021,21000021,A
21,21,21000021,21000006,21000006,A
21,22,21000022,21000013,21000013,B
21,23,21000023,21000014,21000014,B
21,24,21000024,21000020,21000020,B
21,25,21000025,21000004,21000004,B
21,26,21000026,21000032,21000032,B
21,27,21000027,21000005,21000005,B
21,28,21000028,21000022,21000022,B
21,29,21000029,21000019,21000019,B
21,30,21000030,21000017,21000017,B
21,31,21000031,21000008,21000008,B
21,32,21000032,21000007,21000007,B
22,0,22000000,22000021,22000021,A
22,1,22000001,22000032,22000032,B
22,2,22000002,22000025,22000025,B
22,3,22000003,22000010,22000010,B
22,4,22000004,22000031,22000031,B
22,5,22000005,22000023,22000023,B
22,6,22000006,22000020,22000020,B
22,7,22000007,22000015,22000015,A
22,8,22000008,22000018,22000018,A
22,9,22000009,22000028,22000028,B
22,10,22000010,22000006,22000006,A
22,11,22000011,22000008,22000008,B
22,12,22000012,22000029,22000029,B
22,13,22000013,22000005,22000005,B
22,14,22000014,22000017,22000017,B
22,15,22000015,22000026,22000026,B
22,16,22000016,22000024,22000024,A
22,17,22000017,22000007,22000007,B
22,18,22000018,22000014,22000014,B
22,19,22000019,22000003,22000003,A
22,20,22000020,22000001,22000001,B
22,21,22000021,22000000,22000000,A
22,22,22000022,22000013,22000013,B
22,23,22000023,22000012,22000012,A
22,24,22000024,22000011,22000011,B
22,25,22000025,22000016,22000016,B
22,26,22000026,22000002,22000002,B
22,27,22000027,22000009,22000009,A
22,28,22000028,22000030,22000030,A
22,29,22000029,22000027,22000027,A
22,30,22000030,22000019,22000019,B
22,31,22000031,22000022,22000022,B
22,32,22000032,22000004,22000004,B
23,0,23000000,23000010,23000010,B
23,1,23000001,23000023,23000023,B
23,2,23000002,23000021,23000021,A
23,3,23000003,23000013,23000013,B
23,4,23000004,23000017,23000017,B
23,5,23000005,23000015,23000015,A
23,6,23000006,23000003,23000003,A
23,7,23000007,23000030,23000030,A
23,8,23000008,23000011,23000011,B
23,9,23000009,23000005,23000005,B
23,10,23000010,23000027,23000027,A
23,11,23000011,23000028,23000028,B
23,12,23000012,23000009,23000009,A
23,13,23000013,23000022,23000022,B
23,14,23000014,23000025,23000025,B
23,15,23000015,23000032,23000032,B
23,16,23000016,23000007,23000007,B
23,17,23000017,23000016,23000016,B
23,18,23000018,23000000,23000000,A
23,19,23000019,23000014,23000014,B
23,20,23000020,23000002,23000002,B
23,21,23000021,23000004,23000004,B
23,22,23000022,23000029,23000029,B
23,23,23000023,23000024,23000024,A
23,24,23000024,23000012,23000012,A
23,25,23000025,23000031,23000031,B
