scenario,seed,npu,position_1based,request_id,profile,total_input_K,NQL,category
full,7,1,41,1000040,P22,200,1024,LL
full,7,1,42,1000041,P18,160,1024,LL
full,7,2,1,2000000,P22,200,1024,LL
full,7,2,2,2000001,P15,128,2048,LL
full,7,2,3,2000002,P05,64,256,SS
full,7,2,4,2000003,P17,160,256,LS
full,7,2,5,2000004,P08,64,4096,SL
full,7,2,6,2000005,P09,80,256,SS
full,7,2,7,2000006,P19,160,2048,LL
full,7,2,8,2000007,P03,32,2048,SL
full,7,2,9,2000008,P01,32,256,SS
full,7,2,10,2000009,P06,64,1024,SL
full,7,2,11,2000010,P17,160,256,LS
full,7,2,12,2000011,P11,80,2048,SL
full,7,2,13,2000012,P18,160,1024,LL
full,7,2,14,2000013,P21,200,256,LS
full,7,2,15,2000014,P05,64,256,SS
full,7,2,16,2000015,P13,128,256,LS
full,7,2,17,2000016,P02,32,1024,SL
full,7,2,18,2000017,P01,32,256,SS
full,7,2,19,2000018,P20,160,4096,LL
full,7,2,20,2000019,P18,160,1024,LL
full,7,2,21,2000020,P10,80,1024,SL
full,7,2,22,2000021,P17,160,256,LS
full,7,2,23,2000022,P01,32,256,SS
full,7,2,24,2000023,P07,64,2048,SL
full,7,2,25,2000024,P13,128,256,LS
full,7,2,26,2000025,P14,128,1024,LL
full,7,2,27,2000026,P09,80,256,SS
full,7,2,28,2000027,P10,80,1024,SL
full,7,2,29,2000028,P21,200,256,LS
full,7,2,30,2000029,P05,64,256,SS
full,7,2,31,2000030,P14,128,1024,LL
full,7,2,32,2000031,P12,80,4096,SL
full,7,2,33,2000032,P13,128,256,LS
full,7,2,34,2000033,P21,200,256,LS
full,7,2,35,2000034,P04,32,4096,SL
full,7,2,36,2000035,P24,200,4096,LL
full,7,2,37,2000036,P22,200,1024,LL
full,7,2,38,2000037,P06,64,1024,SL
full,7,2,39,2000038,P16,128,4096,LL
full,7,2,40,2000039,P09,80,256,SS
full,7,2,41,2000040,P02,32,1024,SL
full,7,2,42,2000041,P23,200,2048,LL
full,7,3,1,3000000,P10,80,1024,SL
full,7,3,2,3000001,P18,160,1024,LL
full,7,3,3,3000002,P01,32,256,SS
full,7,3,4,3000003,P09,80,256,SS
full,7,3,5,3000004,P08,64,4096,SL
full,7,3,6,3000005,P19,160,2048,LL
full,7,3,7,3000006,P02,32,1024,SL
full,7,3,8,3000007,P02,32,1024,SL
full,7,3,9,3000008,P10,80,1024,SL
full,7,3,10,3000009,P13,128,256,LS
full,7,3,11,3000010,P06,64,1024,SL
full,7,3,12,3000011,P18,160,1024,LL
full,7,3,13,3000012,P16,128,4096,LL
full,7,3,14,3000013,P17,160,256,LS
full,7,3,15,3000014,P21,200,256,LS
full,7,3,16,3000015,P22,200,1024,LL
full,7,3,17,3000016,P13,128,256,LS
full,7,3,18,3000017,P04,32,4096,SL
full,7,3,19,3000018,P05,64,256,SS
full,7,3,20,3000019,P20,160,4096,LL
full,7,3,21,3000020,P11,80,2048,SL
full,7,3,22,3000021,P21,200,256,LS
full,7,3,23,3000022,P05,64,256,SS
full,7,3,24,3000023,P17,160,256,LS
full,7,3,25,3000024,P06,64,1024,SL
full,7,3,26,3000025,P24,200,4096,LL
full,7,3,27,3000026,P15,128,2048,LL
full,7,3,28,3000027,P09,80,256,SS
full,7,3,29,3000028,P14,128,1024,LL
full,7,3,30,3000029,P21,200,256,LS
full,7,3,31,3000030,P13,128,256,LS
full,7,3,32,3000031,P01,32,256,SS
full,7,3,33,3000032,P03,32,2048,SL
full,7,3,34,3000033,P01,32,256,SS
full,7,3,35,3000034,P23,200,2048,LL
full,7,3,36,3000035,P12,80,4096,SL
full,7,3,37,3000036,P22,200,1024,LL
full,7,3,38,3000037,P14,128,1024,LL
full,7,3,39,3000038,P07,64,2048,SL
full,7,3,40,3000039,P05,64,256,SS
full,7,3,41,3000040,P17,160,256,LS
full,7,3,42,3000041,P09,80,256,SS
full,7,4,1,4000000,P08,64,4096,SL
full,7,4,2,4000001,P21,200,256,LS
full,7,4,3,4000002,P14,128,1024,LL
full,7,4,4,4000003,P09,80,256,SS
full,7,4,5,4000004,P01,32,256,SS
full,7,4,6,4000005,P19,160,2048,LL
full,7,4,7,4000006,P22,200,1024,LL
full,7,4,8,4000007,P09,80,256,SS
full,7,4,9,4000008,P11,80,2048,SL
full,7,4,10,4000009,P06,64,1024,SL
full,7,4,11,4000010,P10,80,1024,SL
full,7,4,12,4000011,P17,160,256,LS
full,7,4,13,4000012,P22,200,1024,LL
full,7,4,14,4000013,P17,160,256,LS
full,7,4,15,4000014,P03,32,2048,SL
full,7,4,16,4000015,P02,32,1024,SL
full,7,4,17,4000016,P01,32,256,SS
full,7,4,18,4000017,P16,128,4096,LL
full,7,4,19,4000018,P04,32,4096,SL
full,7,4,20,4000019,P14,128,1024,LL
full,7,4,21,4000020,P23,200,2048,LL
full,7,4,22,4000021,P09,80,256,SS
full,7,4,23,4000022,P07,64,2048,SL
full,7,4,24,4000023,P02,32,1024,SL
full,7,4,25,4000024,P15,128,2048,LL
full,7,4,26,4000025,P18,160,1024,LL
full,7,4,27,4000026,P12,80,4096,SL
full,7,4,28,4000027,P21,200,256,LS
full,7,4,29,4000028,P13,128,256,LS
full,7,4,30,4000029,P21,200,256,LS
full,7,4,31,4000030,P24,200,4096,LL
full,7,4,32,4000031,P18,160,1024,LL
full,7,4,33,4000032,P13,128,256,LS
full,7,4,34,4000033,P05,64,256,SS
full,7,4,35,4000034,P13,128,256,LS
full,7,4,36,4000035,P05,64,256,SS
full,7,4,37,4000036,P20,160,4096,LL
full,7,4,38,4000037,P10,80,1024,SL
full,7,4,39,4000038,P06,64,1024,SL
full,7,4,40,4000039,P17,160,256,LS
full,7,4,41,4000040,P05,64,256,SS
full,7,4,42,4000041,P01,32,256,SS
full,7,5,1,5000000,P21,200,256,LS
full,7,5,2,5000001,P11,80,2048,SL
full,7,5,3,5000002,P09,80,256,SS
full,7,5,4,5000003,P21,200,256,LS
full,7,5,5,5000004,P08,64,4096,SL
full,7,5,6,5000005,P03,32,2048,SL
full,7,5,7,5000006,P21,200,256,LS
full,7,5,8,5000007,P05,64,256,SS
full,7,5,9,5000008,P14,128,1024,LL
full,7,5,10,5000009,P13,128,256,LS
full,7,5,11,5000010,P17,160,256,LS
full,7,5,12,5000011,P18,160,1024,LL
full,7,5,13,5000012,P22,200,1024,LL
full,7,5,14,5000013,P19,160,2048,LL
full,7,5,15,5000014,P13,128,256,LS
full,7,5,16,5000015,P01,32,256,SS
full,7,5,17,5000016,P04,32,4096,SL
full,7,5,18,5000017,P02,32,1024,SL
full,7,5,19,5000018,P10,80,1024,SL
full,7,5,20,5000019,P12,80,4096,SL
full,7,5,21,5000020,P06,64,1024,SL
full,7,5,22,5000021,P20,160,4096,LL
full,7,5,23,5000022,P24,200,4096,LL
full,7,5,24,5000023,P02,32,1024,SL
full,7,5,25,5000024,P09,80,256,SS
full,7,5,26,5000025,P05,64,256,SS
full,7,5,27,5000026,P18,160,1024,LL
full,7,5,28,5000027,P15,128,2048,LL
full,7,5,29,5000028,P17,160,256,LS
full,7,5,30,5000029,P17,160,256,LS
full,7,5,31,5000030,P07,64,2048,SL
full,7,5,32,5000031,P14,128,1024,LL
full,7,5,33,5000032,P09,80,256,SS
full,7,5,34,5000033,P13,128,256,LS
full,7,5,35,5000034,P06,64,1024,SL
full,7,5,36,5000035,P05,64,256,SS
full,7,5,37,5000036,P01,32,256,SS
full,7,5,38,5000037,P16,128,4096,LL
full,7,5,39,5000038,P10,80,1024,SL
full,7,5,40,5000039,P22,200,1024,LL
full,7,5,41,5000040,P23,200,2048,LL
full,7,5,42,5000041,P01,32,256,SS
full,7,6,1,6000000,P13,128,256,LS
full,7,6,2,6000001,P05,64,256,SS
full,7,6,3,6000002,P10,80,1024,SL
full,7,6,4,6000003,P24,200,4096,LL
full,7,6,5,6000004,P12,80,4096,SL
full,7,6,6,6000005,P07,64,2048,SL
full,7,6,7,6000006,P02,32,1024,SL
full,7,6,8,6000007,P23,200,2048,LL
full,7,6,9,6000008,P17,160,256,LS
full,7,6,10,6000009,P18,160,1024,LL
full,7,6,11,6000010,P20,160,4096,LL
full,7,6,12,6000011,P04,32,4096,SL
full,7,6,13,6000012,P13,128,256,LS
full,7,6,14,6000013,P09,80,256,SS
full,7,6,15,6000014,P21,200,256,LS
full,7,6,16,6000015,P11,80,2048,SL
full,7,6,17,6000016,P02,32,1024,SL
full,7,6,18,6000017,P22,200,1024,LL
full,7,6,19,6000018,P18,160,1024,LL
full,7,6,20,6000019,P14,128,1024,LL
full,7,6,21,6000020,P06,64,1024,SL
full,7,6,22,6000021,P09,80,256,SS
full,7,6,23,6000022,P06,64,1024,SL
full,7,6,24,6000023,P01,32,256,SS
full,7,6,25,6000024,P10,80,1024,SL
full,7,6,26,6000025,P21,200,256,LS
full,7,6,27,6000026,P16,128,4096,LL
full,7,6,28,6000027,P21,200,256,LS
full,7,6,29,6000028,P15,128,2048,LL
full,7,6,30,6000029,P05,64,256,SS
full,7,6,31,6000030,P19,160,2048,LL
full,7,6,32,6000031,P13,128,256,LS
full,7,6,33,6000032,P17,160,256,LS
full,7,6,34,6000033,P03,32,2048,SL
full,7,6,35,6000034,P09,80,256,SS
full,7,6,36,6000035,P05,64,256,SS
full,7,6,37,6000036,P22,200,1024,LL
full,7,6,38,6000037,P01,32,256,SS
full,7,6,39,6000038,P01,32,256,SS
full,7,6,40,6000039,P17,160,256,LS
full,7,6,41,6000040,P08,64,4096,SL
full,7,6,42,6000041,P14,128,1024,LL
full,7,7,1,7000000,P21,200,256,LS
full,7,7,2,7000001,P05,64,256,SS
full,7,7,3,7000002,P23,200,2048,LL
full,7,7,4,7000003,P13,128,256,LS
full,7,7,5,7000004,P10,80,1024,SL
full,7,7,6,7000005,P07,64,2048,SL
full,7,7,7,7000006,P14,128,1024,LL
full,7,7,8,7000007,P18,160,1024,LL
full,7,7,9,7000008,P03,32,2048,SL
full,7,7,10,7000009,P19,160,2048,LL
full,7,7,11,7000010,P09,80,256,SS
full,7,7,12,7000011,P12,80,4096,SL
full,7,7,13,7000012,P17,160,256,LS
full,7,7,14,7000013,P22,200,1024,LL
full,7,7,15,7000014,P01,32,256,SS
full,7,7,16,7000015,P10,80,1024,SL
full,7,7,17,7000016,P02,32,1024,SL
full,7,7,18,7000017,P05,64,256,SS
full,7,7,19,7000018,P08,64,4096,SL
full,7,7,20,7000019,P14,128,1024,LL
full,7,7,21,7000020,P06,64,1024,SL
full,7,7,22,7000021,P05,64,256,SS
full,7,7,23,7000022,P01,32,256,SS
full,7,7,24,7000023,P02,32,1024,SL
full,7,7,25,7000024,P18,160,1024,LL
full,7,7,26,7000025,P17,160,256,LS
full,7,7,27,7000026,P04,32,4096,SL
full,7,7,28,7000027,P17,160,256,LS
full,7,7,29,7000028,P15,128,2048,LL
full,7,7,30,7000029,P21,200,256,LS
full,7,7,31,7000030,P09,80,256,SS
full,7,7,32,7000031,P21,200,256,LS
full,7,7,33,7000032,P09,80,256,SS
full,7,7,34,7000033,P20,160,4096,LL
full,7,7,35,7000034,P11,80,2048,SL
full,7,7,36,7000035,P01,32,256,SS
full,7,7,37,7000036,P13,128,256,LS
full,7,7,38,7000037,P22,200,1024,LL
full,7,7,39,7000038,P06,64,1024,SL
full,7,7,40,7000039,P13,128,256,LS
full,7,7,41,7000040,P24,200,4096,LL
full,7,7,42,7000041,P16,128,4096,LL
full,7,8,1,8000000,P06,64,1024,SL
full,7,8,2,8000001,P21,200,256,LS
full,7,8,3,8000002,P07,64,2048,SL
full,7,8,4,8000003,P14,128,1024,LL
full,7,8,5,8000004,P09,80,256,SS
full,7,8,6,8000005,P19,160,2048,LL
full,7,8,7,8000006,P15,128,2048,LL
full,7,8,8,8000007,P05,64,256,SS
full,7,8,9,8000008,P09,80,256,SS
full,7,8,10,8000009,P22,200,1024,LL
full,7,8,11,8000010,P22,200,1024,LL
full,7,8,12,8000011,P01,32,256,SS
full,7,8,13,8000012,P05,64,256,SS
full,7,8,14,8000013,P13,128,256,LS
full,7,8,15,8000014,P12,80,4096,SL
full,7,8,16,8000015,P14,128,1024,LL
full,7,8,17,8000016,P03,32,2048,SL
full,7,8,18,8000017,P02,32,1024,SL
full,7,8,19,8000018,P05,64,256,SS
full,7,8,20,8000019,P18,160,1024,LL
full,7,8,21,8000020,P09,80,256,SS
full,7,8,22,8000021,P17,160,256,LS
full,7,8,23,8000022,P06,64,1024,SL
full,7,8,24,8000023,P11,80,2048,SL
full,7,8,25,8000024,P08,64,4096,SL
full,7,8,26,8000025,P02,32,1024,SL
full,7,8,27,8000026,P04,32,4096,SL
full,7,8,28,8000027,P10,80,1024,SL
full,7,8,29,8000028,P13,128,256,LS
full,7,8,30,8000029,P01,32,256,SS
full,7,8,31,8000030,P21,200,256,LS
full,7,8,32,8000031,P24,200,4096,LL
full,7,8,33,8000032,P18,160,1024,LL
full,7,8,34,8000033,P21,200,256,LS
full,7,8,35,8000034,P20,160,4096,LL
full,7,8,36,8000035,P13,128,256,LS
full,7,8,37,8000036,P17,160,256,LS
full,7,8,38,8000037,P10,80,1024,SL
full,7,8,39,8000038,P17,160,256,LS
full,7,8,40,8000039,P01,32,256,SS
full,7,8,41,8000040,P16,128,4096,LL
full,7,8,42,8000041,P23,200,2048,LL
full,7,9,1,9000000,P18,160,1024,LL
full,7,9,2,9000001,P21,200,256,LS
full,7,9,3,9000002,P13,128,256,LS
full,7,9,4,9000003,P09,80,256,SS
full,7,9,5,9000004,P16,128,4096,LL
full,7,9,6,9000005,P09,80,256,SS
full,7,9,7,9000006,P10,80,1024,SL
full,7,9,8,9000007,P17,160,256,LS
full,7,9,9,9000008,P08,64,4096,SL
full,7,9,10,9000009,P20,160,4096,LL
full,7,9,11,9000010,P10,80,1024,SL
full,7,9,12,9000011,P01,32,256,SS
full,7,9,13,9000012,P04,32,4096,SL
full,7,9,14,9000013,P23,200,2048,LL
full,7,9,15,9000014,P22,200,1024,LL
full,7,9,16,9000015,P13,128,256,LS
full,7,9,17,9000016,P14,128,1024,LL
full,7,9,18,9000017,P18,160,1024,LL
full,7,9,19,9000018,P15,128,2048,LL
full,7,9,20,9000019,P21,200,256,LS
full,7,9,21,9000020,P05,64,256,SS
full,7,9,22,9000021,P14,128,1024,LL
full,7,9,23,9000022,P17,160,256,LS
full,7,9,24,9000023,P05,64,256,SS
full,7,9,25,9000024,P24,200,4096,LL
full,7,9,26,9000025,P03,32,2048,SL
full,7,9,27,9000026,P01,32,256,SS
full,7,9,28,9000027,P12,80,4096,SL
full,7,9,29,9000028,P02,32,1024,SL
full,7,9,30,9000029,P06,64,1024,SL
full,7,9,31,9000030,P19,160,2048,LL
full,7,9,32,9000031,P17,160,256,LS
full,7,9,33,9000032,P21,200,256,LS
full,7,9,34,9000033,P01,32,256,SS
full,7,9,35,9000034,P05,64,256,SS
full,7,9,36,9000035,P07,64,2048,SL
full,7,9,37,9000036,P09,80,256,SS
full,7,9,38,9000037,P06,64,1024,SL
full,7,9,39,9000038,P22,200,1024,LL
full,7,9,40,9000039,P02,32,1024,SL
full,7,9,41,9000040,P13,128,256,LS
full,7,9,42,9000041,P11,80,2048,SL
full,7,10,1,10000000,P15,128,2048,LL
full,7,10,2,10000001,P01,32,256,SS
full,7,10,3,10000002,P12,80,4096,SL
full,7,10,4,10000003,P09,80,256,SS
full,7,10,5,10000004,P24,200,4096,LL
full,7,10,6,10000005,P21,200,256,LS
full,7,10,7,10000006,P22,200,1024,LL
full,7,10,8,10000007,P13,128,256,LS
full,7,10,9,10000008,P16,128,4096,LL
full,7,10,10,10000009,P03,32,2048,SL
full,7,10,11,10000010,P07,64,2048,SL
full,7,10,12,10000011,P18,160,1024,LL
full,7,10,13,10000012,P06,64,1024,SL
full,7,10,14,10000013,P19,160,2048,LL
full,7,10,15,10000014,P13,128,256,LS
full,7,10,16,10000015,P17,160,256,LS
full,7,10,17,10000016,P02,32,1024,SL
full,7,10,18,10000017,P21,200,256,LS
full,7,10,19,10000018,P06,64,1024,SL
full,7,10,20,10000019,P02,32,1024,SL
full,7,10,21,10000020,P17,160,256,LS
full,7,10,22,10000021,P18,160,1024,LL
full,7,10,23,10000022,P17,160,256,LS
full,7,10,24,10000023,P05,64,256,SS
full,7,10,25,10000024,P13,128,256,LS
full,7,10,26,10000025,P09,80,256,SS
full,7,10,27,10000026,P20,160,4096,LL
full,7,10,28,10000027,P05,64,256,SS
full,7,10,29,10000028,P08,64,4096,SL
full,7,10,30,10000029,P01,32,256,SS
full,7,10,31,10000030,P21,200,256,LS
full,7,10,32,10000031,P23,200,2048,LL
full,7,10,33,10000032,P22,200,1024,LL
full,7,10,34,10000033,P14,128,1024,LL
full,7,10,35,10000034,P04,32,4096,SL
full,7,10,36,10000035,P01,32,256,SS
full,7,10,37,10000036,P10,80,1024,SL
full,7,10,38,10000037,P11,80,2048,SL
full,7,10,39,10000038,P05,64,256,SS
full,7,10,40,10000039,P14,128,1024,LL
full,7,10,41,10000040,P09,80,256,SS
full,7,10,42,10000041,P10,80,1024,SL
full,7,11,1,11000000,P21,200,256,LS
full,7,11,2,11000001,P10,80,1024,SL
full,7,11,3,11000002,P13,128,256,LS
full,7,11,4,11000003,P01,32,256,SS
full,7,11,5,11000004,P01,32,256,SS
full,7,11,6,11000005,P10,80,1024,SL
full,7,11,7,11000006,P05,64,256,SS
full,7,11,8,11000007,P11,80,2048,SL
full,7,11,9,11000008,P02,32,1024,SL
full,7,11,10,11000009,P14,128,1024,LL
full,7,11,11,11000010,P09,80,256,SS
full,7,11,12,11000011,P20,160,4096,LL
full,7,11,13,11000012,P02,32,1024,SL
full,7,11,14,11000013,P15,128,2048,LL
full,7,11,15,11000014,P22,200,1024,LL
full,7,11,16,11000015,P03,32,2048,SL
full,7,11,17,11000016,P17,160,256,LS
full,7,11,18,11000017,P06,64,1024,SL
full,7,11,19,11000018,P18,160,1024,LL
full,7,11,20,11000019,P18,160,1024,LL
full,7,11,21,11000020,P21,200,256,LS
full,7,11,22,11000021,P05,64,256,SS
full,7,11,23,11000022,P09,80,256,SS
full,7,11,24,11000023,P13,128,256,LS
full,7,11,25,11000024,P23,200,2048,LL
full,7,11,26,11000025,P05,64,256,SS
full,7,11,27,11000026,P19,160,2048,LL
full,7,11,28,11000027,P13,128,256,LS
full,7,11,29,11000028,P01,32,256,SS
full,7,11,30,11000029,P17,160,256,LS
full,7,11,31,11000030,P24,200,4096,LL
full,7,11,32,11000031,P06,64,1024,SL
full,7,11,33,11000032,P08,64,4096,SL
full,7,11,34,11000033,P22,200,1024,LL
full,7,11,35,11000034,P07,64,2048,SL
full,7,11,36,11000035,P04,32,4096,SL
full,7,11,37,11000036,P14,128,1024,LL
full,7,11,38,11000037,P09,80,256,SS
full,7,11,39,11000038,P12,80,4096,SL
full,7,11,40,11000039,P17,160,256,LS
full,7,11,41,11000040,P21,200,256,LS
full,7,11,42,11000041,P16,128,4096,LL
full,7,12,1,12000000,P01,32,256,SS
full,7,12,2,12000001,P10,80,1024,SL
full,7,12,3,12000002,P01,32,256,SS
full,7,12,4,12000003,P17,160,256,LS
full,7,12,5,12000004,P23,200,2048,LL
full,7,12,6,12000005,P06,64,1024,SL
full,7,12,7,12000006,P17,160,256,LS
full,7,12,8,12000007,P02,32,1024,SL
full,7,12,9,12000008,P09,80,256,SS
full,7,12,10,12000009,P22,200,1024,LL
full,7,12,11,12000010,P18,160,1024,LL
full,7,12,12,12000011,P03,32,2048,SL
full,7,12,13,12000012,P14,128,1024,LL
full,7,12,14,12000013,P05,64,256,SS
full,7,12,15,12000014,P16,128,4096,LL
full,7,12,16,12000015,P10,80,1024,SL
full,7,12,17,12000016,P17,160,256,LS
full,7,12,18,12000017,P12,80,4096,SL
full,7,12,19,12000018,P19,160,2048,LL
full,7,12,20,12000019,P18,160,1024,LL
full,7,12,21,12000020,P21,200,256,LS
full,7,12,22,12000021,P02,32,1024,SL
full,7,12,23,12000022,P24,200,4096,LL
full,7,12,24,12000023,P04,32,4096,SL
full,7,12,25,12000024,P13,128,256,LS
full,7,12,26,12000025,P13,128,256,LS
full,7,12,27,12000026,P11,80,2048,SL
full,7,12,28,12000027,P22,200,1024,LL
full,7,12,29,12000028,P01,32,256,SS
full,7,12,30,12000029,P07,64,2048,SL
full,7,12,31,12000030,P05,64,256,SS
full,7,12,32,12000031,P06,64,1024,SL
full,7,12,33,12000032,P09,80,256,SS
full,7,12,34,12000033,P15,128,2048,LL
full,7,12,35,12000034,P20,160,4096,LL
full,7,12,36,12000035,P05,64,256,SS
full,7,12,37,12000036,P14,128,1024,LL
full,7,12,38,12000037,P21,200,256,LS
full,7,12,39,12000038,P21,200,256,LS
full,7,12,40,12000039,P13,128,256,LS
full,7,12,41,12000040,P08,64,4096,SL
full,7,12,42,12000041,P09,80,256,SS
full,7,13,1,13000000,P05,64,256,SS
full,7,13,2,13000001,P15,128,2048,LL
full,7,13,3,13000002,P23,200,2048,LL
full,7,13,4,13000003,P21,200,256,LS
full,7,13,5,13000004,P16,128,4096,LL
full,7,13,6,13000005,P09,80,256,SS
full,7,13,7,13000006,P14,128,1024,LL
full,7,13,8,13000007,P21,200,256,LS
full,7,13,9,13000008,P03,32,2048,SL
full,7,13,10,13000009,P12,80,4096,SL
full,7,13,11,13000010,P19,160,2048,LL
full,7,13,12,13000011,P07,64,2048,SL
full,7,13,13,13000012,P18,160,1024,LL
full,7,13,14,13000013,P08,64,4096,SL
full,7,13,15,13000014,P18,160,1024,LL
full,7,13,16,13000015,P05,64,256,SS
full,7,13,17,13000016,P04,32,4096,SL
full,7,13,18,13000017,P20,160,4096,LL
full,7,13,19,13000018,P09,80,256,SS
full,7,13,20,13000019,P13,128,256,LS
full,7,13,21,13000020,P06,64,1024,SL
full,7,13,22,13000021,P10,80,1024,SL
full,7,13,23,13000022,P01,32,256,SS
full,7,13,24,13000023,P11,80,2048,SL
full,7,13,25,13000024,P22,200,1024,LL
full,7,13,26,13000025,P01,32,256,SS
full,7,13,27,13000026,P13,128,256,LS
full,7,13,28,13000027,P17,160,256,LS
full,7,13,29,13000028,P02,32,1024,SL
full,7,13,30,13000029,P24,200,4096,LL
full,7,13,31,13000030,P09,80,256,SS
full,7,13,32,13000031,P05,64,256,SS
full,7,13,33,13000032,P17,160,256,LS
full,7,13,34,13000033,P10,80,1024,SL
full,7,13,35,13000034,P13,128,256,LS
full,7,13,36,13000035,P01,32,256,SS
full,7,13,37,13000036,P14,128,1024,LL
full,7,13,38,13000037,P22,200,1024,LL
full,7,13,39,13000038,P02,32,1024,SL
full,7,13,40,13000039,P17,160,256,LS
full,7,13,41,13000040,P21,200,256,LS
full,7,13,42,13000041,P06,64,1024,SL
full,7,14,1,14000000,P11,80,2048,SL
full,7,14,2,14000001,P21,200,256,LS
full,7,14,3,14000002,P05,64,256,SS
full,7,14,4,14000003,P02,32,1024,SL
full,7,14,5,14000004,P17,160,256,LS
full,7,14,6,14000005,P21,200,256,LS
full,7,14,7,14000006,P06,64,1024,SL
full,7,14,8,14000007,P08,64,4096,SL
full,7,14,9,14000008,P24,200,4096,LL
full,7,14,10,14000009,P18,160,1024,LL
full,7,14,11,14000010,P13,128,256,LS
full,7,14,12,14000011,P04,32,4096,SL
full,7,14,13,14000012,P16,128,4096,LL
full,7,14,14,14000013,P01,32,256,SS
full,7,14,15,14000014,P13,128,256,LS
full,7,14,16,14000015,P09,80,256,SS
full,7,14,17,14000016,P15,128,2048,LL
full,7,14,18,14000017,P07,64,2048,SL
full,7,14,19,14000018,P10,80,1024,SL
full,7,14,20,14000019,P14,128,1024,LL
full,7,14,21,14000020,P03,32,2048,SL
full,7,14,22,14000021,P05,64,256,SS
full,7,14,23,14000022,P02,32,1024,SL
full,7,14,24,14000023,P18,160,1024,LL
full,7,14,25,14000024,P06,64,1024,SL
full,7,14,26,14000025,P01,32,256,SS
full,7,14,27,14000026,P09,80,256,SS
full,7,14,28,14000027,P19,160,2048,LL
full,7,14,29,14000028,P21,200,256,LS
full,7,14,30,14000029,P22,200,1024,LL
full,7,14,31,14000030,P12,80,4096,SL
full,7,14,32,14000031,P22,200,1024,LL
