scenario,seed,npu,position_1based,request_id,profile,total_input_K,NQL,category
semi,7,3,9,3000008,P20,160,4096,LL
semi,7,3,10,3000009,P04,32,4096,SL
semi,7,3,11,3000010,P15,128,2048,LL
semi,7,3,12,3000011,P08,64,4096,SL
semi,7,3,13,3000012,P19,160,2048,LL
semi,7,3,14,3000013,P20,160,4096,LL
semi,7,3,15,3000014,P24,200,4096,LL
semi,7,3,16,3000015,P10,80,1024,SL
semi,7,3,17,3000016,P14,128,1024,LL
semi,7,3,18,3000017,P18,160,1024,LL
semi,7,3,19,3000018,P01,32,256,SS
semi,7,3,20,3000019,P03,32,2048,SL
semi,7,3,21,3000020,P02,32,1024,SL
semi,7,3,22,3000021,P24,200,4096,LL
semi,7,3,23,3000022,P09,80,256,SS
semi,7,3,24,3000023,P22,200,1024,LL
semi,7,3,25,3000024,P11,80,2048,SL
semi,7,3,26,3000025,P06,64,1024,SL
semi,7,3,27,3000026,P04,32,4096,SL
semi,7,3,28,3000027,P23,200,2048,LL
semi,7,3,29,3000028,P13,128,256,LS
semi,7,3,30,3000029,P08,64,4096,SL
semi,7,4,1,4000000,P08,64,4096,SL
semi,7,4,2,4000001,P01,32,256,SS
semi,7,4,3,4000002,P20,160,4096,LL
semi,7,4,4,4000003,P23,200,2048,LL
semi,7,4,5,4000004,P17,160,256,LS
semi,7,4,6,4000005,P14,128,1024,LL
semi,7,4,7,4000006,P22,200,1024,LL
semi,7,4,8,4000007,P07,64,2048,SL
semi,7,4,9,4000008,P06,64,1024,SL
semi,7,4,10,4000009,P24,200,4096,LL
semi,7,4,11,4000010,P12,80,4096,SL
semi,7,4,12,4000011,P11,80,2048,SL
semi,7,4,13,4000012,P19,160,2048,LL
semi,7,4,14,4000013,P16,128,4096,LL
semi,7,4,15,4000014,P21,200,256,LS
semi,7,4,16,4000015,P03,32,2048,SL
semi,7,4,17,4000016,P13,128,256,LS
semi,7,4,18,4000017,P20,160,4096,LL
semi,7,4,19,4000018,P10,80,1024,SL
semi,7,4,20,4000019,P16,128,4096,LL
semi,7,4,21,4000020,P04,32,4096,SL
semi,7,4,22,4000021,P18,160,1024,LL
semi,7,4,23,4000022,P09,80,256,SS
semi,7,4,24,4000023,P24,200,4096,LL
semi,7,4,25,4000024,P15,128,2048,LL
semi,7,4,26,4000025,P08,64,4096,SL
semi,7,4,27,4000026,P05,64,256,SS
semi,7,4,28,4000027,P12,80,4096,SL
semi,7,4,29,4000028,P04,32,4096,SL
semi,7,4,30,4000029,P02,32,1024,SL
semi,7,5,1,5000000,P21,200,256,LS
semi,7,5,2,5000001,P09,80,256,SS
semi,7,5,3,5000002,P13,128,256,LS
semi,7,5,4,5000003,P22,200,1024,LL
semi,7,5,5,5000004,P18,160,1024,LL
semi,7,5,6,5000005,P06,64,1024,SL
semi,7,5,7,5000006,P03,32,2048,SL
semi,7,5,8,5000007,P24,200,4096,LL
semi,7,5,9,5000008,P24,200,4096,LL
semi,7,5,10,5000009,P20,160,4096,LL
semi,7,5,11,5000010,P07,64,2048,SL
semi,7,5,12,5000011,P04,32,4096,SL
semi,7,5,13,5000012,P16,128,4096,LL
semi,7,5,14,5000013,P12,80,4096,SL
semi,7,5,15,5000014,P20,160,4096,LL
semi,7,5,16,5000015,P14,128,1024,LL
semi,7,5,17,5000016,P15,128,2048,LL
semi,7,5,18,5000017,P11,80,2048,SL
semi,7,5,19,5000018,P08,64,4096,SL
semi,7,5,20,5000019,P10,80,1024,SL
semi,7,5,21,5000020,P05,64,256,SS
semi,7,5,22,5000021,P04,32,4096,SL
semi,7,5,23,5000022,P23,200,2048,LL
semi,7,5,24,5000023,P02,32,1024,SL
semi,7,5,25,5000024,P12,80,4096,SL
semi,7,5,26,5000025,P19,160,2048,LL
semi,7,5,27,5000026,P08,64,4096,SL
semi,7,5,28,5000027,P16,128,4096,LL
semi,7,5,29,5000028,P17,160,256,LS
semi,7,5,30,5000029,P01,32,256,SS
semi,7,6,1,6000000,P10,80,1024,SL
semi,7,6,2,6000001,P18,160,1024,LL
semi,7,6,3,6000002,P23,200,2048,LL
semi,7,6,4,6000003,P13,128,256,LS
semi,7,6,5,6000004,P16,128,4096,LL
semi,7,6,6,6000005,P04,32,4096,SL
semi,7,6,7,6000006,P17,160,256,LS
semi,7,6,8,6000007,P15,128,2048,LL
semi,7,6,9,6000008,P14,128,1024,LL
semi,7,6,10,6000009,P22,200,1024,LL
semi,7,6,11,6000010,P08,64,4096,SL
semi,7,6,12,6000011,P24,200,4096,LL
semi,7,6,13,6000012,P16,128,4096,LL
semi,7,6,14,6000013,P20,160,4096,LL
semi,7,6,15,6000014,P12,80,4096,SL
semi,7,6,16,6000015,P08,64,4096,SL
semi,7,6,17,6000016,P05,64,256,SS
semi,7,6,18,6000017,P09,80,256,SS
semi,7,6,19,6000018,P19,160,2048,LL
semi,7,6,20,6000019,P03,32,2048,SL
semi,7,6,21,6000020,P07,64,2048,SL
semi,7,6,22,6000021,P04,32,4096,SL
semi,7,6,23,6000022,P24,200,4096,LL
semi,7,6,24,6000023,P02,32,1024,SL
semi,7,6,25,6000024,P01,32,256,SS
semi,7,6,26,6000025,P12,80,4096,SL
semi,7,6,27,6000026,P20,160,4096,LL
semi,7,6,28,6000027,P06,64,1024,SL
semi,7,6,29,6000028,P11,80,2048,SL
semi,7,6,30,6000029,P21,200,256,LS
semi,7,7,1,7000000,P04,32,4096,SL
semi,7,7,2,7000001,P06,64,1024,SL
semi,7,7,3,7000002,P02,32,1024,SL
semi,7,7,4,7000003,P03,32,2048,SL
semi,7,7,5,7000004,P11,80,2048,SL
semi,7,7,6,7000005,P15,128,2048,LL
semi,7,7,7,7000006,P13,128,256,LS
semi,7,7,8,7000007,P08,64,4096,SL
semi,7,7,9,7000008,P12,80,4096,SL
semi,7,7,10,7000009,P24,200,4096,LL
semi,7,7,11,7000010,P07,64,2048,SL
semi,7,7,12,7000011,P22,200,1024,LL
semi,7,7,13,7000012,P16,128,4096,LL
semi,7,7,14,7000013,P16,128,4096,LL
semi,7,7,15,7000014,P04,32,4096,SL
semi,7,7,16,7000015,P14,128,1024,LL
semi,7,7,17,7000016,P08,64,4096,SL
semi,7,7,18,7000017,P01,32,256,SS
semi,7,7,19,7000018,P10,80,1024,SL
semi,7,7,20,7000019,P20,160,4096,LL
semi,7,7,21,7000020,P17,160,256,LS
semi,7,7,22,7000021,P05,64,256,SS
semi,7,7,23,7000022,P09,80,256,SS
semi,7,7,24,7000023,P20,160,4096,LL
semi,7,7,25,7000024,P19,160,2048,LL
semi,7,7,26,7000025,P23,200,2048,LL
semi,7,7,27,7000026,P24,200,4096,LL
semi,7,7,28,7000027,P12,80,4096,SL
semi,7,7,29,7000028,P18,160,1024,LL
semi,7,7,30,7000029,P21,200,256,LS
semi,7,8,1,8000000,P16,128,4096,LL
semi,7,8,2,8000001,P11,80,2048,SL
semi,7,8,3,8000002,P09,80,256,SS
semi,7,8,4,8000003,P04,32,4096,SL
semi,7,8,5,8000004,P21,200,256,LS
semi,7,8,6,8000005,P18,160,1024,LL
semi,7,8,7,8000006,P24,200,4096,LL
semi,7,8,8,8000007,P03,32,2048,SL
semi,7,8,9,8000008,P04,32,4096,SL
semi,7,8,10,8000009,P07,64,2048,SL
semi,7,8,11,8000010,P22,200,1024,LL
semi,7,8,12,8000011,P05,64,256,SS
semi,7,8,13,8000012,P08,64,4096,SL
semi,7,8,14,8000013,P16,128,4096,LL
semi,7,8,15,8000014,P14,128,1024,LL
semi,7,8,16,8000015,P06,64,1024,SL
semi,7,8,17,8000016,P02,32,1024,SL
semi,7,8,18,8000017,P23,200,2048,LL
semi,7,8,19,8000018,P19,160,2048,LL
semi,7,8,20,8000019,P20,160,4096,LL
semi,7,8,21,8000020,P15,128,2048,LL
semi,7,8,22,8000021,P10,80,1024,SL
semi,7,8,23,8000022,P13,128,256,LS
semi,7,8,24,8000023,P20,160,4096,LL
semi,7,8,25,8000024,P08,64,4096,SL
semi,7,8,26,8000025,P12,80,4096,SL
semi,7,8,27,8000026,P01,32,256,SS
semi,7,8,28,8000027,P12,80,4096,SL
semi,7,8,29,8000028,P17,160,256,LS
semi,7,8,30,8000029,P24,200,4096,LL
semi,7,9,1,9000000,P24,200,4096,LL
semi,7,9,2,9000001,P04,32,4096,SL
semi,7,9,3,9000002,P12,80,4096,SL
semi,7,9,4,9000003,P07,64,2048,SL
semi,7,9,5,9000004,P17,160,256,LS
semi,7,9,6,9000005,P23,200,2048,LL
semi,7,9,7,9000006,P18,160,1024,LL
semi,7,9,8,9000007,P13,128,256,LS
semi,7,9,9,9000008,P20,160,4096,LL
semi,7,9,10,9000009,P11,80,2048,SL
semi,7,9,11,9000010,P21,200,256,LS
semi,7,9,12,9000011,P09,80,256,SS
semi,7,9,13,9000012,P03,32,2048,SL
semi,7,9,14,9000013,P15,128,2048,LL
semi,7,9,15,9000014,P16,128,4096,LL
semi,7,9,16,9000015,P12,80,4096,SL
semi,7,9,17,9000016,P14,128,1024,LL
semi,7,9,18,9000017,P19,160,2048,LL
semi,7,9,19,9000018,P01,32,256,SS
semi,7,9,20,9000019,P04,32,4096,SL
semi,7,9,21,9000020,P06,64,1024,SL
semi,7,9,22,9000021,P08,64,4096,SL
semi,7,9,23,9000022,P05,64,256,SS
semi,7,9,24,9000023,P16,128,4096,LL
semi,7,9,25,9000024,P24,200,4096,LL
semi,7,9,26,9000025,P22,200,1024,LL
semi,7,9,27,9000026,P02,32,1024,SL
semi,7,9,28,9000027,P10,80,1024,SL
semi,7,9,29,9000028,P20,160,4096,LL
semi,7,9,30,9000029,P08,64,4096,SL
semi,7,10,1,10000000,P16,128,4096,LL
semi,7,10,2,10000001,P13,128,256,LS
semi,7,10,3,10000002,P15,128,2048,LL
semi,7,10,4,10000003,P05,64,256,SS
semi,7,10,5,10000004,P03,32,2048,SL
semi,7,10,6,10000005,P14,128,1024,LL
semi,7,10,7,10000006,P21,200,256,LS
semi,7,10,8,10000007,P01,32,256,SS
semi,7,10,9,10000008,P09,80,256,SS
semi,7,10,10,10000009,P06,64,1024,SL
semi,7,10,11,10000010,P16,128,4096,LL
semi,7,10,12,10000011,P10,80,1024,SL
semi,7,10,13,10000012,P24,200,4096,LL
semi,7,10,14,10000013,P12,80,4096,SL
semi,7,10,15,10000014,P17,160,256,LS
semi,7,10,16,10000015,P12,80,4096,SL
semi,7,10,17,10000016,P20,160,4096,LL
semi,7,10,18,10000017,P24,200,4096,LL
semi,7,10,19,10000018,P22,200,1024,LL
semi,7,10,20,10000019,P23,200,2048,LL
semi,7,10,21,10000020,P04,32,4096,SL
semi,7,10,22,10000021,P02,32,1024,SL
semi,7,10,23,10000022,P20,160,4096,LL
semi,7,10,24,10000023,P08,64,4096,SL
semi,7,10,25,10000024,P18,160,1024,LL
semi,7,10,26,10000025,P19,160,2048,LL
semi,7,10,27,10000026,P04,32,4096,SL
semi,7,10,28,10000027,P11,80,2048,SL
semi,7,10,29,10000028,P07,64,2048,SL
semi,7,10,30,10000029,P08,64,4096,SL
semi,7,11,1,11000000,P08,64,4096,SL
semi,7,11,2,11000001,P08,64,4096,SL
semi,7,11,3,11000002,P17,160,256,LS
semi,7,11,4,11000003,P20,160,4096,LL
semi,7,11,5,11000004,P14,128,1024,LL
semi,7,11,6,11000005,P01,32,256,SS
semi,7,11,7,11000006,P03,32,2048,SL
semi,7,11,8,11000007,P16,128,4096,LL
semi,7,11,9,11000008,P24,200,4096,LL
semi,7,11,10,11000009,P24,200,4096,LL
semi,7,11,11,11000010,P04,32,4096,SL
semi,7,11,12,11000011,P13,128,256,LS
semi,7,11,13,11000012,P10,80,1024,SL
semi,7,11,14,11000013,P19,160,2048,LL
semi,7,11,15,11000014,P23,200,2048,LL
semi,7,11,16,11000015,P21,200,256,LS
semi,7,11,17,11000016,P02,32,1024,SL
semi,7,11,18,11000017,P05,64,256,SS
semi,7,11,19,11000018,P18,160,1024,LL
semi,7,11,20,11000019,P16,128,4096,LL
semi,7,11,21,11000020,P22,200,1024,LL
semi,7,11,22,11000021,P06,64,1024,SL
semi,7,11,23,11000022,P04,32,4096,SL
semi,7,11,24,11000023,P11,80,2048,SL
semi,7,11,25,11000024,P07,64,2048,SL
semi,7,11,26,11000025,P20,160,4096,LL
semi,7,11,27,11000026,P09,80,256,SS
semi,7,11,28,11000027,P12,80,4096,SL
semi,7,11,29,11000028,P15,128,2048,LL
semi,7,11,30,11000029,P12,80,4096,SL
semi,7,12,1,12000000,P23,200,2048,LL
semi,7,12,2,12000001,P12,80,4096,SL
semi,7,12,3,12000002,P02,32,1024,SL
semi,7,12,4,12000003,P17,160,256,LS
semi,7,12,5,12000004,P22,200,1024,LL
semi,7,12,6,12000005,P14,128,1024,LL
semi,7,12,7,12000006,P08,64,4096,SL
semi,7,12,8,12000007,P03,32,2048,SL
semi,7,12,9,12000008,P20,160,4096,LL
semi,7,12,10,12000009,P04,32,4096,SL
semi,7,12,11,12000010,P09,80,256,SS
semi,7,12,12,12000011,P13,128,256,LS
semi,7,12,13,12000012,P21,200,256,LS
semi,7,12,14,12000013,P01,32,256,SS
semi,7,12,15,12000014,P24,200,4096,LL
semi,7,12,16,12000015,P08,64,4096,SL
semi,7,12,17,12000016,P05,64,256,SS
semi,7,12,18,12000017,P24,200,4096,LL
semi,7,12,19,12000018,P12,80,4096,SL
semi,7,12,20,12000019,P19,160,2048,LL
semi,7,12,21,12000020,P04,32,4096,SL
semi,7,12,22,12000021,P11,80,2048,SL
semi,7,12,23,12000022,P15,128,2048,LL
semi,7,12,24,12000023,P16,128,4096,LL
semi,7,12,25,12000024,P16,128,4096,LL
semi,7,12,26,12000025,P10,80,1024,SL
semi,7,12,27,12000026,P18,160,1024,LL
semi,7,12,28,12000027,P20,160,4096,LL
semi,7,12,29,12000028,P06,64,1024,SL
semi,7,12,30,12000029,P07,64,2048,SL
semi,7,13,1,13000000,P08,64,4096,SL
semi,7,13,2,13000001,P14,128,1024,LL
semi,7,13,3,13000002,P20,160,4096,LL
semi,7,13,4,13000003,P16,128,4096,LL
semi,7,13,5,13000004,P06,64,1024,SL
semi,7,13,6,13000005,P04,32,4096,SL
semi,7,13,7,13000006,P16,128,4096,LL
semi,7,13,8,13000007,P23,200,2048,LL
semi,7,13,9,13000008,P19,160,2048,LL
semi,7,13,10,13000009,P07,64,2048,SL
semi,7,13,11,13000010,P18,160,1024,LL
semi,7,13,12,13000011,P09,80,256,SS
semi,7,13,13,13000012,P12,80,4096,SL
semi,7,13,14,13000013,P02,32,1024,SL
semi,7,13,15,13000014,P24,200,4096,LL
semi,7,13,16,13000015,P22,200,1024,LL
semi,7,13,17,13000016,P04,32,4096,SL
semi,7,13,18,13000017,P12,80,4096,SL
semi,7,13,19,13000018,P08,64,4096,SL
semi,7,13,20,13000019,P10,80,1024,SL
semi,7,13,21,13000020,P17,160,256,LS
semi,7,13,22,13000021,P01,32,256,SS
semi,7,13,23,13000022,P11,80,2048,SL
semi,7,13,24,13000023,P20,160,4096,LL
semi,7,13,25,13000024,P21,200,256,LS
semi,7,13,26,13000025,P03,32,2048,SL
semi,7,13,27,13000026,P13,128,256,LS
semi,7,13,28,13000027,P15,128,2048,LL
semi,7,13,29,13000028,P24,200,4096,LL
semi,7,13,30,13000029,P05,64,256,SS
semi,7,14,1,14000000,P16,128,4096,LL
semi,7,14,2,14000001,P20,160,4096,LL
semi,7,14,3,14000002,P22,200,1024,LL
semi,7,14,4,14000003,P06,64,1024,SL
semi,7,14,5,14000004,P12,80,4096,SL
semi,7,14,6,14000005,P08,64,4096,SL
semi,7,14,7,14000006,P20,160,4096,LL
semi,7,14,8,14000007,P19,160,2048,LL
semi,7,14,9,14000008,P03,32,2048,SL
semi,7,14,10,14000009,P04,32,4096,SL
semi,7,14,11,14000010,P02,32,1024,SL
semi,7,14,12,14000011,P05,64,256,SS
semi,7,14,13,14000012,P21,200,256,LS
semi,7,14,14,14000013,P07,64,2048,SL
semi,7,14,15,14000014,P09,80,256,SS
semi,7,14,16,14000015,P24,200,4096,LL
semi,7,14,17,14000016,P23,200,2048,LL
semi,7,14,18,14000017,P14,128,1024,LL
semi,7,14,19,14000018,P10,80,1024,SL
semi,7,14,20,14000019,P13,128,256,LS
semi,7,14,21,14000020,P24,200,4096,LL
semi,7,14,22,14000021,P15,128,2048,LL
semi,7,14,23,14000022,P16,128,4096,LL
semi,7,14,24,14000023,P04,32,4096,SL
semi,7,14,25,14000024,P18,160,1024,LL
semi,7,14,26,14000025,P01,32,256,SS
semi,7,14,27,14000026,P12,80,4096,SL
semi,7,14,28,14000027,P11,80,2048,SL
semi,7,14,29,14000028,P08,64,4096,SL
semi,7,14,30,14000029,P17,160,256,LS
semi,7,15,1,15000000,P17,160,256,LS
semi,7,15,2,15000001,P13,128,256,LS
semi,7,15,3,15000002,P01,32,256,SS
semi,7,15,4,15000003,P16,128,4096,LL
semi,7,15,5,15000004,P04,32,4096,SL
semi,7,15,6,15000005,P10,80,1024,SL
semi,7,15,7,15000006,P18,160,1024,LL
semi,7,15,8,15000007,P08,64,4096,SL
semi,7,15,9,15000008,P15,128,2048,LL
semi,7,15,10,15000009,P20,160,4096,LL
semi,7,15,11,15000010,P02,32,1024,SL
semi,7,15,12,15000011,P23,200,2048,LL
semi,7,15,13,15000012,P14,128,1024,LL
semi,7,15,14,15000013,P06,64,1024,SL
semi,7,15,15,15000014,P20,160,4096,LL
semi,7,15,16,15000015,P12,80,4096,SL
semi,7,15,17,15000016,P11,80,2048,SL
semi,7,15,18,15000017,P08,64,4096,SL
semi,7,15,19,15000018,P09,80,256,SS
semi,7,15,20,15000019,P07,64,2048,SL
semi,7,15,21,15000020,P04,32,4096,SL
semi,7,15,22,15000021,P05,64,256,SS
semi,7,15,23,15000022,P24,200,4096,LL
semi,7,15,24,15000023,P16,128,4096,LL
semi,7,15,25,15000024,P24,200,4096,LL
semi,7,15,26,15000025,P12,80,4096,SL
semi,7,15,27,15000026,P22,200,1024,LL
semi,7,15,28,15000027,P21,200,256,LS
semi,7,15,29,15000028,P19,160,2048,LL
semi,7,15,30,15000029,P03,32,2048,SL
semi,7,16,1,16000000,P20,160,4096,LL
semi,7,16,2,16000001,P10,80,1024,SL
semi,7,16,3,16000002,P01,32,256,SS
semi,7,16,4,16000003,P13,128,256,LS
semi,7,16,5,16000004,P05,64,256,SS
semi,7,16,6,16000005,P22,200,1024,LL
semi,7,16,7,16000006,P06,64,1024,SL
semi,7,16,8,16000007,P18,160,1024,LL
semi,7,16,9,16000008,P12,80,4096,SL
semi,7,16,10,16000009,P21,200,256,LS
semi,7,16,11,16000010,P11,80,2048,SL
semi,7,16,12,16000011,P02,32,1024,SL
semi,7,16,13,16000012,P08,64,4096,SL
semi,7,16,14,16000013,P20,160,4096,LL
semi,7,16,15,16000014,P04,32,4096,SL
semi,7,16,16,16000015,P24,200,4096,LL
semi,7,16,17,16000016,P16,128,4096,LL
semi,7,16,18,16000017,P12,80,4096,SL
semi,7,16,19,16000018,P16,128,4096,LL
semi,7,16,20,16000019,P08,64,4096,SL
semi,7,16,21,16000020,P19,160,2048,LL
semi,7,16,22,16000021,P17,160,256,LS
semi,7,16,23,16000022,P23,200,2048,LL
semi,7,16,24,16000023,P24,200,4096,LL
semi,7,16,25,16000024,P07,64,2048,SL
semi,7,16,26,16000025,P15,128,2048,LL
semi,7,16,27,16000026,P04,32,4096,SL
semi,7,16,28,16000027,P09,80,256,SS
semi,7,16,29,16000028,P03,32,2048,SL
semi,7,16,30,16000029,P14,128,1024,LL
semi,7,17,1,17000000,P15,128,2048,LL
semi,7,17,2,17000001,P06,64,1024,SL
semi,7,17,3,17000002,P04,32,4096,SL
semi,7,17,4,17000003,P22,200,1024,LL
semi,7,17,5,17000004,P02,32,1024,SL
semi,7,17,6,17000005,P14,128,1024,LL
semi,7,17,7,17000006,P24,200,4096,LL
semi,7,17,8,17000007,P05,64,256,SS
semi,7,17,9,17000008,P19,160,2048,LL
semi,7,17,10,17000009,P16,128,4096,LL
semi,7,17,11,17000010,P17,160,256,LS
semi,7,17,12,17000011,P10,80,1024,SL
semi,7,17,13,17000012,P20,160,4096,LL
semi,7,17,14,17000013,P13,128,256,LS
semi,7,17,15,17000014,P01,32,256,SS
semi,7,17,16,17000015,P16,128,4096,LL
semi,7,17,17,17000016,P08,64,4096,SL
semi,7,17,18,17000017,P03,32,2048,SL
semi,7,17,19,17000018,P12,80,4096,SL
semi,7,17,20,17000019,P04,32,4096,SL
semi,7,17,21,17000020,P23,200,2048,LL
semi,7,17,22,17000021,P24,200,4096,LL
semi,7,17,23,17000022,P07,64,2048,SL
semi,7,17,24,17000023,P21,200,256,LS
semi,7,17,25,17000024,P18,160,1024,LL
semi,7,17,26,17000025,P12,80,4096,SL
semi,7,17,27,17000026,P08,64,4096,SL
semi,7,17,28,17000027,P09,80,256,SS
semi,7,17,29,17000028,P11,80,2048,SL
semi,7,17,30,17000029,P20,160,4096,LL
semi,7,18,1,18000000,P21,200,256,LS
semi,7,18,2,18000001,P04,32,4096,SL
semi,7,18,3,18000002,P23,200,2048,LL
semi,7,18,4,18000003,P08,64,4096,SL
semi,7,18,5,18000004,P03,32,2048,SL
semi,7,18,6,18000005,P08,64,4096,SL
semi,7,18,7,18000006,P04,32,4096,SL
semi,7,18,8,18000007,P02,32,1024,SL
semi,7,18,9,18000008,P07,64,2048,SL
semi,7,18,10,18000009,P10,80,1024,SL
semi,7,18,11,18000010,P11,80,2048,SL
semi,7,18,12,18000011,P24,200,4096,LL
semi,7,18,13,18000012,P12,80,4096,SL
semi,7,18,14,18000013,P18,160,1024,LL
semi,7,18,15,18000014,P12,80,4096,SL
semi,7,18,16,18000015,P14,128,1024,LL
semi,7,18,17,18000016,P01,32,256,SS
semi,7,18,18,18000017,P20,160,4096,LL
semi,7,18,19,18000018,P19,160,2048,LL
semi,7,18,20,18000019,P17,160,256,LS
semi,7,18,21,18000020,P15,128,2048,LL
semi,7,18,22,18000021,P20,160,4096,LL
semi,7,18,23,18000022,P24,200,4096,LL
semi,7,18,24,18000023,P22,200,1024,LL
semi,7,18,25,18000024,P16,128,4096,LL
semi,7,18,26,18000025,P05,64,256,SS
semi,7,18,27,18000026,P13,128,256,LS
semi,7,18,28,18000027,P09,80,256,SS
semi,7,18,29,18000028,P06,64,1024,SL
semi,7,18,30,18000029,P16,128,4096,LL
semi,7,19,1,19000000,P18,160,1024,LL
semi,7,19,2,19000001,P08,64,4096,SL
semi,7,19,3,19000002,P08,64,4096,SL
semi,7,19,4,19000003,P12,80,4096,SL
semi,7,19,5,19000004,P07,64,2048,SL
semi,7,19,6,19000005,P06,64,1024,SL
semi,7,19,7,19000006,P14,128,1024,LL
semi,7,19,8,19000007,P03,32,2048,SL
semi,7,19,9,19000008,P21,200,256,LS
semi,7,19,10,19000009,P17,160,256,LS
semi,7,19,11,19000010,P15,128,2048,LL
semi,7,19,12,19000011,P04,32,4096,SL
semi,7,19,13,19000012,P10,80,1024,SL
semi,7,19,14,19000013,P16,128,4096,LL
semi,7,19,15,19000014,P23,200,2048,LL
semi,7,19,16,19000015,P12,80,4096,SL
semi,7,19,17,19000016,P04,32,4096,SL
